id,code,name,city_id
206,11410720,북가좌제2동,14
207,11440555,아현동,13
208,11440565,공덕동,13
209,11440585,도화동,13
210,11440590,용강동,13
211,11440600,대흥동,13
212,11440610,염리동,13
213,11440630,신수동,13
214,11440655,서강동,13
215,11440660,서교동,13
216,11440680,합정동,13
217,11440690,망원제1동,13
218,11440700,망원제2동,13
219,11440710,연남동,13
220,11440720,성산제1동,13
221,11440730,성산제2동,13
222,11440740,상암동,13
223,11470510,목1동,19
224,11470520,목2동,19
225,11470530,목3동,19
226,11470540,목4동,19
227,11470550,목5동,19
228,11470560,신월1동,19
229,11470570,신월2동,19
230,11470580,신월3동,19
231,11470590,신월4동,19
232,11470600,신월5동,19
233,11470610,신월6동,19
234,11470611,신월7동,19
235,11470620,신정1동,19
236,11470630,신정2동,19
237,11470640,신정3동,19
238,11470650,신정4동,19
239,11470670,신정6동,19
240,11470680,신정7동,19
241,11500510,염창동,4
242,11500520,등촌제1동,4
243,11500530,등촌제2동,4
244,11500535,등촌제3동,4
245,11500540,화곡제1동,4
246,11500550,화곡제2동,4
247,11500560,화곡제3동,4
248,11500570,화곡제4동,4
249,11500590,화곡본동,4
250,11500591,화곡제6동,4
251,11500593,화곡제8동,4
252,11500603,가양제1동,4
253,11500604,가양제2동,4
254,11500605,가양제3동,4
255,11500611,발산제1동,4
256,11500615,우장산동,4
257,11500620,공항동,4
258,11500630,방화제1동,4
259,11500640,방화제2동,4
260,11500641,방화제3동,4
261,11530510,신도림동,7
262,11530520,구로제1동,7
263,11530530,구로제2동,7
264,11530540,구로제3동,7
265,11530550,구로제4동,7
266,11530560,구로제5동,7
267,11530595,가리봉동,7
268,11530720,고척제1동,7
269,11530730,고척제2동,7
270,11530740,개봉제1동,7
271,11530750,개봉제2동,7
272,11530760,개봉제3동,7
273,11530770,오류제1동,7
274,11530780,오류제2동,7
275,11530790,수궁동,7
276,11530800,항동,7
277,11545510,가산동,8
278,11545610,독산제1동,8
279,11545620,독산제2동,8
280,11545630,독산제3동,8
281,11545640,독산제4동,8
282,11545670,시흥제1동,8
283,11545680,시흥제2동,8
284,11545690,시흥제3동,8
285,11545700,시흥제4동,8
286,11545710,시흥제5동,8
287,11560515,영등포본동,20
288,11560535,영등포동,20
289,11560540,여의동,20
290,11560550,당산제1동,20
291,11560560,당산제2동,20
292,11560585,도림동,20
293,11560605,문래동,20
294,11560610,양평제1동,20
295,11560620,양평제2동,20
296,11560630,신길제1동,20
297,11560650,신길제3동,20
298,11560660,신길제4동,20
299,11560670,신길제5동,20
300,11560680,신길제6동,20
301,11560690,신길제7동,20
302,11560700,대림제1동,20
303,11560710,대림제2동,20
304,11560720,대림제3동,20
305,11590510,노량진제1동,12
306,11590520,노량진제2동,12
307,11590530,상도제1동,12
308,11590540,상도제2동,12
309,11590550,상도제3동,12
310,11590560,상도제4동,12
311,11590605,흑석동,12
312,11590620,사당제1동,12
313,11590630,사당제2동,12
314,11590640,사당제3동,12
315,11590650,사당제4동,12
316,11590651,사당제5동,12
317,11590660,대방동,12
318,11590670,신대방제1동,12
319,11590680,신대방제2동,12
320,11620525,보라매동,5
321,11620545,청림동,5
322,11620565,성현동,5
323,11620575,행운동,5
324,11620585,낙성대동,5
325,11620595,청룡동,5
326,11620605,은천동,5
327,11620615,중앙동,5
328,11620625,인헌동,5
329,11620630,남현동,5
330,11620645,서원동,5
331,11620655,신원동,5
332,11620665,서림동,5
333,11620685,신사동,5
334,11620695,신림동,5
335,11620715,난향동,5
336,11620725,조원동,5
337,11620735,대학동,5
338,11620745,삼성동,5
339,11620765,미성동,5
340,11620775,난곡동,5
341,11650510,서초1동,15
342,11650520,서초2동,15
343,11650530,서초3동,15
344,11650531,서초4동,15
345,11650540,잠원동,15
346,11650550,반포본동,15
347,11650560,반포1동,15
348,11650570,반포2동,15
349,11650580,반포3동,15
350,11650581,반포4동,15
351,11650590,방배본동,15
352,11650600,방배1동,15
353,11650610,방배2동,15
354,11650620,방배3동,15
355,11650621,방배4동,15
356,11650651,양재1동,15
357,11650652,양재2동,15
358,11650660,내곡동,15
359,11680510,신사동,1
360,11680521,논현1동,1
361,11680531,논현2동,1
362,11680545,압구정동,1
363,11680565,청담동,1
364,11680580,삼성1동,1
365,11680590,삼성2동,1
366,11680600,대치1동,1
367,11680610,대치2동,1
